best_fitness,runtime_ms,vector
10784,0,-284.345 468.382 -400.835 157.242 -88.0614 -39.0314 -441.967 -473.415 -34.931 -232.068 286.739 -19.6562 273.834 -253.838 -190.021 -399.635 -136.326 -89.2998 344.19 -265.791 472.944 446.801 -455.644 -227.255 119.568 85.2896 -160.932 -50.8687 -387.426 256.129
10530.7,0,250.572 -432.657 453.54 -87.5301 -142.162 137.055 507.509 -439.936 274.687 -201.402 -351.284 -102.516 262.119 254.282 167.599 431.762 -69.0848 166.75 168.635 321.832 -430.554 -421.403 352.817 491.105 202.677 354.969 -448.458 -110.542 347.426 -156.541
10728.3,0,256.515 511.139 -195.239 479.141 485.49 -454.493 416.134 123.96 -194.44 336.467 4.48773 386.043 55.8677 -106.555 -367.885 -390.027 -47.9562 138.268 -379.302 -267.502 -59.07 323.805 -468.909 222.971 -182.883 -159.843 -309.358 348.503 -453.904 324.386
9029.5,0,-308.839 44.9835 -426.384 -464.98 23.6637 -54.9239 70.0739 72.1913 296.478 308.846 -425.923 133.979 -457.733 324.396 -52.7001 -57.0136 104.597 -109.885 135.818 284.684 98.2327 -184.873 506.752 259.823 -247.146 -484.003 355.933 -70.0113 287.53 -396.578
9947.3,0,12.4752 -83.5477 -215.114 -172.512 -95.6529 -430.438 125.889 41.2083 103.866 -187.244 17.657 339.108 -390.195 -389.127 494.119 226.624 43.6113 -478.501 358.881 -234.399 -222.838 193.914 -443.65 -487.37 309.588 360.124 256.177 194.842 63.9286 -406.551
9089.93,0,-79.1143 -444.396 498.606 123.326 -173.357 202.364 331.891 -449.563 -176.289 6.07172 81.0924 -424.775 -494.296 491.048 107.618 347.905 225.218 303.676 344.601 -418.043 337.813 -467.743 264.333 -222.051 319.926 308.926 316.44 -488.273 -284.772 -152.184
10720.7,0,132.68 19.8008 477.336 -82.6565 -165.278 15.3174 194.237 -93.138 -22.856 -430.208 72.3707 -206.667 -228.029 -436.401 -435.581 -269.89 -353.239 -86.9632 -98.7948 65.2145 498.314 88.6611 126.994 -97.4179 -168.613 -495.71 72.4211 -436.816 11.9302 507.522
11109.1,0,-428.67 -227.59 -184.813 186.13 73.1711 34.2922 -183.648 125.901 11.7436 -426.841 -191.012 341.605 -202.139 206.473 473.635 112.425 -376.048 -106.205 302.957 -483.14 351.126 -309.147 -475.796 172.265 -84.0797 -347.017 -64.7221 -259.804 -365.692 -271.716
9991.42,0,-361.883 234.068 209.668 -422.258 511.297 -197.493 -67.2198 476.75 1.61053 -265.376 274.344 -72.5321 495.017 -72.2607 -158.395 -446.111 93.8021 -139.769 -479.212 -432.075 179.092 -210.265 148.533 277.091 -221.117 -64.4283 -492.431 -195.274 284.302 240.394
10371.1,0,-379.94 -99.5396 -28.1552 273.697 -363.136 -14.5895 -230.813 164.293 133.877 282.364 215.45 291.969 -101.624 452.015 -469.601 -169.713 -382.24 -417.481 68.862 386.163 -205.445 -393.328 56.3028 312.284 134.395 -138.095 -55.1476 -300.047 -458.977 290.638
9842.12,0,345.666 14.8755 -96.8277 -415.034 103.672 113.779 -471.627 -439.227 498.423 -324.551 -177.809 -71.6977 125.909 -89.9633 -353.639 271.917 -437.047 219.822 -265.955 -238.837 339.878 315.229 72.5068 279.359 -59.4962 -69.1009 -0.111633 291.663 14.553 -242.386
10984.4,0,81.9672 -212.44 128.883 -449.188 66.7908 -454.357 362.076 -439.044 -356.079 -440.227 486.429 258.42 459.814 -441.146 50.9755 363.058 -6.8602 217.361 122.965 280.842 -490.425 -483.019 102.061 135.425 -123.733 -453.97 46.1756 -508.493 94.8074 -318.065
