best_fitness,runtime_ms,vector
7747.4,43.89,-192.671 -324.964 -415.652 372.898 -190.334 -59.6253 -415.277 329.004 -421.043 -236.122 -422.691 -446.847 291.477 -353.64 -10.3692 241.056 320.433 -233.016 -420.147 -430.557 336.15 -1.20886 -436.568 164.614 -206.543 15.0899 90.1811 6.70566 -443.823 -86.4761
8775.36,47.7048,-60.0453 -426.363 -203.291 285.83 123.792 295.319 -437.634 -182.796 393.733 507.96 -89.6837 121.462 -58.2966 -478.848 -229.644 490.737 128.143 311.349 500.917 -122.963 -54.5782 -465.717 469.502 -421.104 -97.8717 -336.383 291.741 296.027 309.409 231.166
7889.8,58.9119,-195.814 -391.202 14.4288 -2.96559 -384.049 -370.387 319.444 394.579 -204.384 227.758 512 -124.703 -443.597 300.242 -35.1654 -426.941 138.143 312.065 -374.221 -371.128 -185.172 -420.255 509.519 130.39 -450.353 272.11 292.896 147.805 -225.03 -499.615
8049.6,57.2328,-214.894 303.41 114.067 -0.491663 140.312 86.137 155.333 -443.298 -415.298 -199.33 -75.6516 299.038 115.894 -452.413 126.947 107.258 -247.193 292.214 509.974 270.182 -217.743 -461.315 -193.512 103.6 -479.62 -203.013 -397.262 242.367 -305.983 275.335
8124.57,40.8445,295.774 457.296 -393.99 63.1104 257.084 266.811 -10.4247 -210.659 -485.406 107.106 160.354 -380.063 349.889 -214.927 -422.825 -207.179 -198.019 276.065 -100.004 293.277 -470.206 10.3723 185.171 -178.02 -364.696 303.859 -458.182 -423.092 -403.375 -401.785
7644.69,43.6131,133.64 269.851 123.985 285.125 120.915 -401.355 -432.779 -135.535 322.388 -69.4863 -404.489 510.94 -93.3221 -462.18 154.574 -416.711 -382.673 -440.502 183.149 53.3642 -371.756 303.821 -122.447 305.3 -433.489 -450.813 183.141 134.519 193.255 511.111
8084.62,43.8156,-78.852 -368.459 174.921 -468.65 -406.157 -389.309 -492.316 39.2214 307.442 -190.232 280.576 112.534 336.618 -413.638 42.9433 468.157 -448.191 74.4548 -357.468 -372.156 -354.668 -48.6366 -449.263 -212.151 -389.805 -455.721 -446.381 279.678 132.643 -192.657
7839.99,50.1959,250.455 350.457 -365.435 -61.1572 279.007 -7.56383 -446.321 -193.774 122.107 -415.764 -55.7564 -434.659 54.7449 -455.404 478.664 317.775 -67.0994 316.315 312.142 -449.765 -198.913 53.7655 140.517 -84.2282 -405.727 340.726 -449.226 460.514 301.978 -191.784
7805.56,42.8258,-394.414 -174.819 131.853 493.389 -394.685 -372.206 -8.30389 -221.215 -438.936 -400.911 -364.251 298.92 29.6876 322.427 113.18 -205.285 491.706 -94.4216 267.507 -1.02434 322.276 -205.041 -386.143 477.868 293.271 -218.58 288.319 173.321 512 -132.48
8235.08,44.2393,-285.793 -87.6622 511.401 133.529 -300.476 303.067 295.802 -424.791 103.002 -61.4691 -412.954 -453.854 -242.815 -129.01 -436.276 -423.457 -444.17 -454.41 -404.618 352.848 87.3747 299.972 -209.836 321.482 -464.842 337.367 189.361 374.607 31.9554 127.193
