strategy,problem,dim,best_fitness,runtime_ms
1,1,20,16.3457,183.682
1,1,20,342.259,183.23
1,1,20,123.119,189.716
1,1,20,116.185,186.455
1,1,20,158.429,188.977
1,1,20,151.229,198.953
1,1,20,16.1445,190.765
1,1,20,363.713,216.755
1,1,20,124.635,215.699
1,1,20,7.43066,185.232
1,1,20,76.0654,201.26
1,1,20,208.549,188.945
1,1,20,245.142,198.854
1,1,20,114.753,192.685
1,1,20,131.225,183.356
1,1,20,17.5752,183.364
1,1,20,0.21875,182.345
1,1,20,30.9414,183.362
1,1,20,114.753,186.347
1,1,20,129.701,187.541
1,1,20,254.014,183.402
1,1,20,45.9512,184.379
1,1,20,156.332,182.291
1,1,20,151.455,182.162
1,1,20,229.507,183.245
1,1,20,24.4209,183.416
1,1,20,16.1562,183.546
1,1,20,34.0176,184.175
1,1,20,0,182.163
1,1,20,114.754,195.155
2,1,20,0,189.012
2,1,20,0,184.437
2,1,20,0,184.16
2,1,20,0,203.441
2,1,20,0,183.483
2,1,20,0,183.967
2,1,20,0,205.03
2,1,20,0,202.021
2,1,20,0,184.373
2,1,20,0,186.388
2,1,20,0,199.232
2,1,20,0,196.861
2,1,20,0,195.127
2,1,20,0,190.142
2,1,20,0,188.692
2,1,20,0,196.136
2,1,20,0,194.929
2,1,20,0,192.714
2,1,20,0,186.944
2,1,20,0,189.508
2,1,20,0,195.648
2,1,20,0,190.541
2,1,20,0,189.296
2,1,20,0,216.434
2,1,20,0,190.542
2,1,20,0,194.115
2,1,20,0,184.513
2,1,20,0,192.985
2,1,20,0,190.283
2,1,20,0,183.47
3,1,20,1088.59,180.993
3,1,20,1070.38,179.477
3,1,20,967.935,180.441
3,1,20,1056.49,180.29
3,1,20,923.46,182.453
3,1,20,853.18,183.324
3,1,20,1210.45,182.835
3,1,20,923.553,183.448
3,1,20,1068.52,183.626
3,1,20,1135.01,180.425
3,1,20,824.809,183.484
3,1,20,1066.59,181.198
3,1,20,1015.2,182.837
3,1,20,1206.16,179.951
3,1,20,981.897,180.585
3,1,20,1207.31,181.641
3,1,20,919.96,182.486
3,1,20,948.895,181.201
3,1,20,918.411,181.293
3,1,20,921.566,181.229
3,1,20,1063.58,181.963
3,1,20,1003.14,180.1
3,1,20,827.84,180.608
3,1,20,623.838,200.116
3,1,20,937.23,185.573
3,1,20,1077.82,180.984
3,1,20,1057.19,182.369
3,1,20,919.892,180.348
3,1,20,1159.3,180.009
3,1,20,998.06,181.405
4,1,20,0,184.342
4,1,20,0.380859,183.325
4,1,20,0,186.494
4,1,20,6.67285,185.496
4,1,20,83.0107,184.554
4,1,20,16.1318,185.638
4,1,20,18.7051,185.44
4,1,20,0,185.279
4,1,20,136.487,184.113
4,1,20,16.1309,185.503
4,1,20,114.754,187.557
4,1,20,47.9033,194.208
4,1,20,16.1318,193.722
4,1,20,143.171,184.356
4,1,20,20.9219,189.486
4,1,20,0,190.875
4,1,20,10.7734,185.342
4,1,20,0.984375,185.895
4,1,20,125.237,240.89
4,1,20,2.66113,205.421
4,1,20,130.885,188.837
4,1,20,0,192.665
4,1,20,0,196.468
4,1,20,20.291,187.626
4,1,20,0,193.89
4,1,20,0,186.414
4,1,20,114.754,186.169
4,1,20,0,191.835
4,1,20,114.754,186.34
4,1,20,158.243,185.397
5,1,20,0.00390625,188.389
5,1,20,0.00292969,190.285
5,1,20,0.00292969,187.587
5,1,20,0.00292969,186.613
5,1,20,0.000976562,188.321
5,1,20,0.00195312,196.551
5,1,20,0.00292969,190.342
5,1,20,0.00390625,200.613
5,1,20,0.00390625,193.729
5,1,20,0.00292969,195.31
5,1,20,0.00292969,192.08
5,1,20,0.00390625,192.65
5,1,20,0.00390625,196.282
5,1,20,0.00292969,205.192
5,1,20,0.00390625,186.587
5,1,20,0.00390625,187.653
5,1,20,0.00195312,190.838
5,1,20,0.00292969,196.168
5,1,20,0.00292969,194.053
5,1,20,0.00195312,218.184
5,1,20,0.00292969,255.599
5,1,20,0.00292969,224.734
5,1,20,0.00292969,196.477
5,1,20,0.00292969,193.013
5,1,20,0.00195312,213.231
5,1,20,0.00292969,242.943
5,1,20,0.00390625,194.28
5,1,20,0.00292969,190.666
5,1,20,0.00292969,193.368
5,1,20,0.00292969,192.452
6,1,20,1491.8,215.219
6,1,20,1606.55,214.412
6,1,20,1606.55,213.203
6,1,20,1385.21,216.995
6,1,20,1650.04,217.423
6,1,20,1763.94,221.591
6,1,20,1393.17,225.469
6,1,20,1491.8,216.669
6,1,20,1377.04,214.458
6,1,20,1737.44,217.772
6,1,20,1492.33,216.895
6,1,20,1610.23,226.861
6,1,20,1636.03,221.866
6,1,20,1378.65,217.517
6,1,20,1606.55,215.855
6,1,20,1491.97,215.341
6,1,20,1606.55,217.946
6,1,20,1523.55,217.611
6,1,20,1606.55,215.507
6,1,20,1622.68,213.786
6,1,20,1377.04,215.847
6,1,20,1608.37,215.75
6,1,20,1517.79,214.334
6,1,20,1606.55,217.478
6,1,20,1491.8,214.276
6,1,20,1437.14,216.583
6,1,20,1491.8,217.362
6,1,20,1721.3,228.961
6,1,20,1606.55,216.091
6,1,20,1836.06,213.538
7,1,20,951.186,218.66
7,1,20,981.688,217.326
7,1,20,895.869,216.079
7,1,20,981.426,218.77
7,1,20,1041.01,230.248
7,1,20,1012.52,220.754
7,1,20,1081.35,218.564
7,1,20,1133.79,219.114
7,1,20,1028.39,217.698
7,1,20,854.65,218.655
7,1,20,951.701,217.046
7,1,20,1019.27,216.871
7,1,20,972.177,219.237
7,1,20,910.12,217.958
7,1,20,972.619,222.254
7,1,20,995.26,223.81
7,1,20,1152.46,227.495
7,1,20,1023.46,269.558
7,1,20,1101.37,228.79
7,1,20,994.069,231.621
7,1,20,1127.58,218.301
7,1,20,1102.16,219.321
7,1,20,973.744,219.188
7,1,20,978.271,221.023
7,1,20,977.564,221.779
7,1,20,969.445,220.794
7,1,20,961.048,218.085
7,1,20,1101.42,218.862
7,1,20,1108.13,216.29
7,1,20,1111.62,216.932
8,1,20,1721.99,216.087
8,1,20,1841.03,218.984
8,1,20,1721.47,215.738
8,1,20,1669.46,217.239
8,1,20,1892.89,215.818
8,1,20,1514.14,217.476
8,1,20,1722.16,214.76
8,1,20,1498.17,215.289
8,1,20,1721.3,215.819
8,1,20,1721.3,216.971
8,1,20,1726.92,230.312
8,1,20,1646.62,222.229
8,1,20,1950.81,214.419
8,1,20,1754.16,215.035
8,1,20,1836.06,214.326
8,1,20,2072.71,217.191
8,1,20,1494.34,217.15
8,1,20,1836.24,215.135
8,1,20,1721.37,216.363
8,1,20,1607.46,216.225
8,1,20,1645.6,214.483
8,1,20,1836.06,229.022
8,1,20,1729.84,213.698
8,1,20,1836.24,214.78
8,1,20,1836.06,214.277
8,1,20,1950.81,213.788
8,1,20,1607.47,215.484
8,1,20,1836.06,214.573
8,1,20,1777.71,218.987
8,1,20,1623.62,214.74
9,1,20,1622.68,215.467
9,1,20,1407.7,216.348
9,1,20,1491.8,235.894
9,1,20,1606.55,218.042
9,1,20,1491.8,216.911
9,1,20,1283.23,217.769
9,1,20,1409.31,217.878
9,1,20,1382.44,218.006
9,1,20,1545.69,217.764
9,1,20,1535.91,217.284
9,1,20,1507.93,215.748
9,1,20,1622.68,219.723
9,1,20,1491.8,246.055
9,1,20,1491.8,218.242
9,1,20,1622.68,217.922
9,1,20,1507.93,216.54
9,1,20,1852.19,216.772
9,1,20,1606.55,216.515
9,1,20,1157.07,218.689
9,1,20,1737.77,216.803
9,1,20,1836.06,215.948
9,1,20,1606.55,216.836
9,1,20,1622.68,215.357
9,1,20,1393.17,220.864
9,1,20,1507.93,245.742
9,1,20,1500.87,218.942
9,1,20,1377.04,217.404
9,1,20,1383.9,218.347
9,1,20,1509.15,219.604
9,1,20,1639.29,218.343
10,1,20,1520.05,221.214
10,1,20,1387.9,219.931
10,1,20,1559.17,220.162
10,1,20,1436.23,220.434
10,1,20,1416.51,219.915
10,1,20,1504,220.047
10,1,20,1414.74,219.339
10,1,20,1558.75,219.647
10,1,20,1428.94,221.992
10,1,20,1529.64,220.487
10,1,20,1598.93,223.157
10,1,20,1627.28,253.391
10,1,20,1504.43,221.82
10,1,20,1509.57,220.11
10,1,20,1481.88,221.232
10,1,20,1537.42,239.368
10,1,20,1575.93,221.919
10,1,20,1634.38,224.058
10,1,20,1541.8,219.719
10,1,20,1578.38,219.084
10,1,20,1562.5,219.602
10,1,20,1580.45,221.102
10,1,20,1525.59,221.495
10,1,20,1408.84,221.006
10,1,20,1562.33,220.5
10,1,20,1466.17,219.348
10,1,20,1371.97,220.06
10,1,20,1322.23,231.392
10,1,20,1482.72,218.77
10,1,20,1661.36,220.161
1,2,20,4.8384e-013,43.0913
1,2,20,6.48508e-013,46.2347
1,2,20,5.23558e-013,46.9045
1,2,20,8.88435e-013,46.7022
1,2,20,4.57991e-013,43.5941
1,2,20,4.22128e-013,46.9416
