problem,dim,particles,c1,c2,generations,best_fitness,runtime_ms
1,20,200,0.8,1.2,1000,2303.96,212.852
1,20,200,0.8,1.2,1000,3580.31,206.6
1,20,200,0.8,1.2,1000,4523.58,221.034
1,20,200,0.8,1.2,1000,3914.13,209.378
1,20,200,0.8,1.2,1000,3482.99,191.814
1,20,200,0.8,1.2,1000,3799.78,207.376
1,20,200,0.8,1.2,1000,3131.09,204.08
1,20,200,0.8,1.2,1000,3852.27,270.64
1,20,200,0.8,1.2,1000,3793.65,200.084
1,20,200,0.8,1.2,1000,3761.91,201.047
1,20,200,0.8,1.2,1000,3454.35,200.534
1,20,200,0.8,1.2,1000,2936.92,200.444
1,20,200,0.8,1.2,1000,4264.23,224.171
1,20,200,0.8,1.2,1000,4510.53,194.947
1,20,200,0.8,1.2,1000,3710.06,189.941
1,20,200,0.8,1.2,1000,4583.58,198.274
1,20,200,0.8,1.2,1000,4626.59,221.869
1,20,200,0.8,1.2,1000,4184.43,199.205
1,20,200,0.8,1.2,1000,3656.67,194.619
1,20,200,0.8,1.2,1000,3892.51,200.275
1,20,200,0.8,1.2,1000,2814.11,189.239
1,20,200,0.8,1.2,1000,3460.57,199.487
1,20,200,0.8,1.2,1000,3546.02,189.95
1,20,200,0.8,1.2,1000,3475.83,201.355
1,20,200,0.8,1.2,1000,3956.49,205.839
1,20,200,0.8,1.2,1000,3442.87,215.118
1,20,200,0.8,1.2,1000,2785.32,198.536
1,20,200,0.8,1.2,1000,2661.38,198.903
1,20,200,0.8,1.2,1000,3938.21,209.357
1,20,200,0.8,1.2,1000,4015.94,197.27
2,20,200,0.8,1.2,1000,17.0639,49.119
2,20,200,0.8,1.2,1000,17.7154,43.4927
2,20,200,0.8,1.2,1000,14.761,42.2484
2,20,200,0.8,1.2,1000,21.0698,43.0441
2,20,200,0.8,1.2,1000,26.9236,42.5545
2,20,200,0.8,1.2,1000,13.811,42.9656
2,20,200,0.8,1.2,1000,17.6163,42.6178
2,20,200,0.8,1.2,1000,21.5137,45.8396
2,20,200,0.8,1.2,1000,22.1566,48.8641
2,20,200,0.8,1.2,1000,19.9205,45.8066
2,20,200,0.8,1.2,1000,23.7886,43.0494
2,20,200,0.8,1.2,1000,19.9017,43.8878
2,20,200,0.8,1.2,1000,20.1951,44.1349
2,20,200,0.8,1.2,1000,22.7237,44.0154
2,20,200,0.8,1.2,1000,20.7095,49.9894
2,20,200,0.8,1.2,1000,16.2554,50.5907
2,20,200,0.8,1.2,1000,21.5607,43.3508
2,20,200,0.8,1.2,1000,21.9182,42.9134
2,20,200,0.8,1.2,1000,14.3048,44.5257
2,20,200,0.8,1.2,1000,16.3518,49.0388
2,20,200,0.8,1.2,1000,12.9369,43.6504
2,20,200,0.8,1.2,1000,15.771,41.9494
2,20,200,0.8,1.2,1000,21.7633,42.2377
2,20,200,0.8,1.2,1000,13.1559,43.1373
2,20,200,0.8,1.2,1000,14.2657,43.7029
2,20,200,0.8,1.2,1000,17.0936,44.0284
2,20,200,0.8,1.2,1000,25.191,47.1463
2,20,200,0.8,1.2,1000,12.681,44.7194
2,20,200,0.8,1.2,1000,22.0575,44.8071
2,20,200,0.8,1.2,1000,14.8327,43.5044
3,20,200,0.8,1.2,1000,7397.87,44.3328
3,20,200,0.8,1.2,1000,6311.54,43.8427
3,20,200,0.8,1.2,1000,4906.27,45.0769
3,20,200,0.8,1.2,1000,6889.48,44.1918
3,20,200,0.8,1.2,1000,6166.16,44.2914
3,20,200,0.8,1.2,1000,15250.9,44.8642
3,20,200,0.8,1.2,1000,6007.51,47.2319
3,20,200,0.8,1.2,1000,6687.87,47.4761
3,20,200,0.8,1.2,1000,5977.73,45.8717
3,20,200,0.8,1.2,1000,5781.5,45.3092
3,20,200,0.8,1.2,1000,4842.31,45.4471
3,20,200,0.8,1.2,1000,4913.39,48.6836
3,20,200,0.8,1.2,1000,13612,45.6061
3,20,200,0.8,1.2,1000,3789.25,47.9783
3,20,200,0.8,1.2,1000,9942.07,61.1258
3,20,200,0.8,1.2,1000,5787.04,46.9938
3,20,200,0.8,1.2,1000,14217.8,44.6224
3,20,200,0.8,1.2,1000,9903.44,45.8844
3,20,200,0.8,1.2,1000,9537.13,46.3608
3,20,200,0.8,1.2,1000,9983.03,53.5156
3,20,200,0.8,1.2,1000,10557.7,49.9915
3,20,200,0.8,1.2,1000,14953.8,44.5369
3,20,200,0.8,1.2,1000,8639.79,45.4323
3,20,200,0.8,1.2,1000,2399.1,45.6742
3,20,200,0.8,1.2,1000,6589.31,45.3139
3,20,200,0.8,1.2,1000,11177.1,46.3167
3,20,200,0.8,1.2,1000,3753.62,45.6975
3,20,200,0.8,1.2,1000,2066.96,52.9812
3,20,200,0.8,1.2,1000,9245.07,67.9044
3,20,200,0.8,1.2,1000,9261.24,46.0341
4,20,200,0.8,1.2,1000,-19327,183.528
4,20,200,0.8,1.2,1000,-18048.3,184.55
4,20,200,0.8,1.2,1000,-19785.9,195.99
4,20,200,0.8,1.2,1000,-18534.2,192.028
4,20,200,0.8,1.2,1000,-22300,183.732
4,20,200,0.8,1.2,1000,-19522.6,182.478
4,20,200,0.8,1.2,1000,-19887.3,189.619
